lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
20.87681,14.3954,12.06125,20.81651,14.39308,12.26328,20.78133,14.38414,12.33332,20.81091,14.43509,12.44254,101,34,2
21.27989,14.72493,12.12105,21.2341,14.71933,12.31785,21.21238,14.71424,12.38656,21.26828,14.7801,12.49564,102,35,0
21.2842,14.76215,12.22486,21.23991,14.76731,12.4274,21.21887,14.76681,12.49818,21.2754,14.83716,12.61169,103,35,1
21.27956,14.72203,12.11267,21.23427,14.72078,12.32125,21.21281,14.7178,12.39433,21.26904,14.78631,12.50861,104,35,2
21.38991,14.81398,12.1121,21.35458,14.81687,12.31991,21.34181,14.81915,12.39312,21.41375,14.89909,12.5086,105,36,0
21.3957,14.86478,12.26547,21.36107,14.87153,12.45583,21.34853,14.8749,12.52276,21.42052,14.95473,12.63374,106,36,1
21.39108,14.82449,12.14513,21.35565,14.82608,12.34361,21.34282,14.82768,12.4136,21.41465,14.90666,12.52615,107,36,2
21.31073,14.7575,12.14011,21.28267,14.76797,12.3432,21.27636,14.77578,12.41505,21.36162,14.86586,12.52957,108,37,0
21.31633,14.80559,12.27464,21.28912,14.82111,12.46681,21.2831,14.83053,12.53485,21.36842,14.92083,12.64709,109,37,1
21.31116,14.76127,12.15106,21.28312,14.77173,12.35224,21.27682,14.77958,12.42362,21.36207,14.86957,12.53775,110,37,2
20.90287,14.4279,12.08,20.86684,14.4466,12.29142,20.85303,14.45426,12.36586,20.92603,14.53761,12.48204,111,38,0
20.91088,14.49106,12.2159,20.87595,14.51454,12.41314,20.86255,14.52368,12.48259,20.93566,14.60707,12.59527,112,38,1
20.90299,14.42891,12.08224,20.86681,14.44643,12.2911,20.85294,14.4536,12.36474,20.92586,14.53638,12.47999,113,38,2
20.89169,14.42258,12.09533,20.84575,14.43291,12.29869,20.82342,14.43408,12.37,20.8814,14.50616,12.48238,114,39,0
20.8962,14.45837,12.172,20.85125,14.47404,12.37167,20.82935,14.47738,12.44174,20.8877,14.55149,12.55459,115,39,1
