juris,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
San Mateo County,25317.0,68361.0,3094.0,2918.0,4404.0,14901.0,20963.0,5943.0,23275.0,289.0,4165.0,1803.0,5571.0,5754.0,5693.0,0.603849639842,19997061.2976,859.164824818
Petaluma,21301.0,54581.0,4031.0,3758.0,4860.0,8652.0,18431.0,4571.0,28412.0,370.0,5314.0,4199.0,6709.0,7108.0,4712.0,0.577857956703,17901901.2966,630.082405203
Santa Rosa,63741.0,162534.0,16247.0,13963.0,14744.0,18787.0,48168.0,20987.0,71940.0,505.0,8917.0,9468.0,13714.0,24972.0,14364.0,0.661652964624,45549969.0,633.166096747
Rohnert Park,14265.0,35947.0,3334.0,2867.0,3439.0,4625.0,9582.0,5851.0,13907.0,173.0,1427.0,1984.0,2970.0,5050.0,2303.0,0.744364433312,11387832.0,818.856115625
Mill Valley,5997.0,13856.0,879.0,777.0,863.0,3478.0,4874.0,1510.0,5656.0,21.0,330.0,642.0,1770.0,1954.0,939.0,0.615203118588,3241054.6588,573.029465841
Richmond,36886.0,103397.0,12257.0,8342.0,7886.0,8401.0,24946.0,15057.0,36864.0,393.0,8123.0,4241.0,5424.0,8910.0,9773.0,0.739316924557,32616072.1147,884.767581238
Pittsburg,19224.0,58966.0,5182.0,3743.0,4903.0,5396.0,15555.0,5756.0,13165.0,74.0,1728.0,1996.0,1472.0,4377.0,3518.0,0.61793635487,11454387.0,870.063577668
Orinda,6391.0,16414.0,458.0,486.0,778.0,4669.0,6416.0,307.0,16457.0,621.0,287.0,440.0,6668.0,7097.0,1344.0,0.498051745636,9547034.48399,580.119978367
Alameda,30209.0,72341.0,7609.0,6553.0,6215.0,9832.0,15116.0,15324.0,28701.0,63.0,3667.0,1928.0,5515.0,8347.0,9181.0,0.999239216724,20528482.8692,715.253227039
Napa,28309.0,75226.0,7013.0,5841.0,6195.0,9260.0,22910.0,7820.0,32547.0,399.0,3403.0,4731.0,5436.0,13453.0,5125.0,0.617830641641,24918620.0,765.619565551
Hercules,8126.0,22827.0,1112.0,1217.0,1972.0,3825.0,7299.0,1539.0,4848.0,5.0,1919.0,382.0,729.0,984.0,829.0,0.556651596109,2946881.0,607.854991749
Newark,12521.0,39276.0,1996.0,1976.0,2955.0,5594.0,9751.0,2731.0,18899.0,53.0,4544.0,3684.0,3534.0,4596.0,2488.0,0.642036714183,19123911.6001,1011.90071433
Alameda County,48637.0,133775.0,10958.0,9653.0,10830.0,17196.0,38361.0,12590.0,58821.0,141.0,4576.0,2697.0,21686.0,22289.0,7432.0,0.633938114231,42993201.8024,730.915860022
Martinez,13898.0,33579.0,2564.0,2462.0,3330.0,5542.0,11610.0,3486.0,21883.0,20.0,3285.0,1228.0,2249.0,3026.0,12075.0,0.598535745047,11583531.0,529.339258785
Danville,15335.0,40672.0,1140.0,1126.0,1796.0,11273.0,15179.0,848.0,12093.0,72.0,914.0,1495.0,3877.0,3524.0,2211.0,0.505138678437,6122195.42509,506.25944142
Marin County,26661.0,63328.0,4138.0,3755.0,4311.0,14457.0,23457.0,6417.0,11923.0,160.0,637.0,1052.0,2957.0,4035.0,3082.0,0.568295178412,7880991.16315,660.990620075
Healdsburg,4472.0,11409.0,1151.0,991.0,1092.0,1238.0,3870.0,1116.0,7305.0,162.0,1523.0,1008.0,974.0,1806.0,1832.0,0.577777777778,4853058.0,664.347433265
Concord,44015.0,117319.0,10306.0,8502.0,10425.0,14782.0,30663.0,16770.0,57719.0,270.0,6646.0,7058.0,12487.0,18941.0,12317.0,0.717721684114,36316722.0046,629.198738797
Sunnyvale,51470.0,130972.0,12041.0,7487.0,11020.0,20922.0,26284.0,28404.0,71247.0,202.0,22643.0,5968.0,15789.0,16042.0,10603.0,0.979112768224,53267823.1085,747.650049946
Ross,837.0,2347.0,91.0,79.0,118.0,549.0,870.0,33.0,402.0,1.0,13.0,7.0,63.0,247.0,71.0,0.481034482759,291637.0,725.465174129
